ID	GLOSS	SCategory	NewCategory	CONCEPTICON_ID	CONCEPTICON_GLOSS	NOTE
156	ribs	Body	Body	801	RIB	Vietnam
157	shoulder	Body	Body	1482	SHOULDER	Vietnam
158	tears	Body	Body	1651	TEAR (OF EYE)	Vietnam
159	toe	Body	Body	1389	TOE	Vietnam
160	tusk	Body	Body	3280	TUSK	Vietnam
161	boil/ulcer	Body	Body	1189	ULCER	Vietnam
162	waist	Body	Body	1681	WAIST	Vietnam
163	dream	Concepts	Concepts	2374	DREAM	Vietnam
164	price	Concepts	Concepts	657	PRICE	Vietnam
165	white	Description	Description	1335	WHITE	
166	right side	Description	Description	1019	RIGHT	
167	red	Description	Description	156	RED	
168	green	Description	Description	1425	GREEN	
169	cool	Description	Description	2483	COLD (OF WEATHER)	
170	black	Description	Description	163	BLACK	
171	yellow	Description	Description	1424	YELLOW	
172	dry	Description	Description	1398	DRY	Vietnam
173	to be dirty	Appearance	Description	1230	DIRTY	Laos
174	to be new	Appearance	Description	1231	NEW	Laos
175	to be old	Appearance	Description	1229	OLD	Laos
176	to be dark	Appearance	Description	706	DARK	Laos
177	to be bright	Appearance	Description	679	BRIGHT	Laos
178	to be sweet	Taste/Feel	Description	717	SWEET	Laos
179	to be sour	Taste/Feel	Description	1906	SOUR	Laos
180	to be bitter	Taste/Feel	Description	887	BITTER	Laos
181	to be spicy, hot	Taste/Feel	Description	544	SPICY	Laos
182	to be rotten	Taste/Feel	Description	1728	ROTTEN	Laos
183	to be ripe	Taste/Feel	Description	178	RIPE	Laos
184	to be dry	Taste/Feel	Description	1398	DRY	Laos
185	to be wet	Taste/Feel	Description	1726	WET	Laos
186	to be hot	Taste/Feel	Description	1286	HOT	Laos
187	to be cold	Taste/Feel	Description	1287	COLD	Laos
188	to be sharp	Taste/Feel	Description	1396	SHARP	Laos
189	to be blunt	Taste/Feel	Description	379	BLUNT	Laos
190	to be heavy	Taste/Feel	Description	1210	HEAVY	Laos
191	to be hard	Taste/Feel	Description	1884	HARD	Laos
192	to be smooth	Taste/Feel	Description	1234	SMOOTH	Laos
193	to be fast	Other Qualities	Description	1631	FAST	Laos
194	to be slow	Other Qualities	Description	701	SLOW	Laos
195	to be strong	Other Qualities	Description	785	STRONG	Laos
196	to be strong	Other Qualities	Description	785	STRONG	Laos
197	to be weak	Other Qualities	Description	1601	WEAK	Laos
198	to be blind	Other Qualities	Description	1653	BLIND	Laos
199	to be deaf	Other Qualities	Description	996	DEAF	Laos
200	bald	Other Qualities	Description	1125	BALD	Laos
201	naked	Other Qualities	Description	590	NAKED	Laos
202	to be good	Other Qualities	Description	1035	GOOD	Laos
203	to be bad	Other Qualities	Description	1292	BAD	Laos
204	to be correct	Other Qualities	Description	1725	CORRECT (RIGHT)	Laos
205	to be wrong	Other Qualities	Description	1390	WRONG	Laos
206	warm	Other Qualities	Description	1232	WARM	Laos
207	difficult	Other Qualities	Description	584	DIFFICULT	Laos
208	easy	Other Qualities	Description	686	EASY	Laos
209	loose	Other Qualities	Description	2506	LOOSE	Laos
210	wide	Description	Description	1243	WIDE	Vietnam
211	wet	Description	Description	1726	WET	Vietnam
212	sweet	Description	Description	717	SWEET	Vietnam
213	sticky	Description	Description	3703	STICKY	Vietnam
214	spicy	Description	Description	544	SPICY	Vietnam
215	sour	Description	Description	1906	SOUR	Vietnam
216	soft	Description	Description	1856	SOFT	Vietnam
217	smelly	Description	Description	42	STINKING	Vietnam
218	slick	Description	Description			Vietnam
219	short	Description	Description	1645	SHORT	Vietnam
220	salty	Description	Description	1091	SALTY	Vietnam
221	rotten	Description	Description	1728	ROTTEN	Vietnam
222	ripe	Description	Description	178	RIPE	Vietnam
223	raw	Description	Description	1959	RAW	Vietnam
224	old	Description	Description	2113	OLD (USED)	Vietnam
225	new	Description	Description	1231	NEW	Vietnam
226	near	Description	Description	1942	NEAR	Vietnam
227	narrow	Description	Description	1267	NARROW	Vietnam
228	low	Description	Description	3348	LOW (POSITION OR HEIGHT)	Vietnam
229	light weight	Description	Description	1052	LIGHT (WEIGHT)	Vietnam
230	left	Description	Description	244	LEFT	Vietnam
231	late	Description	Description	477	LATE	Vietnam
232	inside	Description	Description	1606	INSIDE	Vietnam
233	hot	Description	Description	1286	HOT	Vietnam
234	high	Description	Description	1265	HIGH	Vietnam
235	heavy	Description	Description	1210	HEAVY	Vietnam
236	hard	Description	Description	1884	HARD	Vietnam
237	good	Description	Description	1035	GOOD	Vietnam
238	full	Description	Description	1429	FULL	Vietnam
239	fragrant	Description	Description	376	FRAGRANT	Vietnam
240	fishy	Description	Description			Vietnam
241	far	Description	Description	1406	FAR	Vietnam
242	early	Description	Description	672	EARLY	Vietnam
243	dead	Description	Description	1625	DEAD	Vietnam
244	cold	Description	Description	1287	COLD	Vietnam
245	blind	Description	Description	1653	BLIND	Vietnam
246	bitter	Description	Description	887	BITTER	Vietnam
247	below	Description	Description	1485	BELOW OR UNDER	Vietnam
248	bad	Description	Description	1292	BAD	Vietnam
249	alive	Description	Description	1422	BE ALIVE	Vietnam
250	above	Description	Description	1741	ABOVE	Vietnam
251	to be big	Dimensions	Dimensions	1202	BIG	Laos
252	to be small	Dimensions	Dimensions	1246	SMALL	Laos
253	to be long	Dimensions	Dimensions	1203	LONG	Laos
254	to be short (length)	Dimensions	Dimensions	1645	SHORT	Laos
255	to be tall	Dimensions	Dimensions	711	TALL	Laos
256	to be short (height)	Dimensions	Dimensions	2191	LOW (HEIGHT)	Laos
257	to be thick	Dimensions	Dimensions	1244	THICK	Laos
258	to be thin	Dimensions	Dimensions	2308	THIN	Laos
259	to be fat	Dimensions	Dimensions	1279	FAT (OBESE)	Laos
260	to be wide, broad	Dimensions	Dimensions	1243	WIDE	Laos
261	to be narrow	Dimensions	Dimensions	1267	NARROW	Laos
262	to be deep	Dimensions	Dimensions	1593	DEEP	Laos
263	to be shallow	Dimensions	Dimensions	193	SHALLOW	Laos
264	to be round	Dimensions	Dimensions	1395	ROUND	Laos
265	to be full	Dimensions	Dimensions	1429	FULL	Laos
266	to be straight	Dimensions	Dimensions	1404	STRAIGHT	Laos
267	to be straight	Dimensions	Dimensions	1404	STRAIGHT	Laos
268	to be far	Dimensions	Dimensions	1406	FAR	Laos
269	to be near	Dimensions	Dimensions	1942	NEAR	Laos
270	east	Nature	Direction	1877	EAST	Laos
271	west	Nature	Direction	1817	WEST	Laos
272	north	Nature	Direction	1598	NORTH	Laos
273	south	Nature	Direction	1595	SOUTH	Laos
274	horizon	Nature	Direction	2287	HORIZON	Laos
275	left side	Dimensions	Direction	244	LEFT	Laos
276	this	Dimensions	Direction	1214	THIS	Laos
277	that	Dimensions	Direction	78	THAT	Laos
278	blanket	Town	Home	806	BLANKET	
279	door	Town	Home	1567	DOOR	
280	house	Town	Home	1252	HOUSE	
281	mat	Town	Home	195	MAT	
282	pillow	Town	Home	1044	PILLOW	
283	window	Home	Home	1375	WINDOW	
284	roof	Home	Home	769	ROOF	
285	wall of house	Home	Home	933	WALL (OF HOUSE)	
286	coffin	Home	Home	2011	COFFIN	
287	bed	Town	Home	1663	BED	Vietnam
288	garden	Town	Home	586	GARDEN	Vietnam
289	stairs/ladder	Town	Home	2689	LADDER OR STAIRS	Vietnam
290	fire	Tools	Nature	221	FIRE	
291	ashes	Town	Nature	646	ASH	
292	cave	Nature	Nature	1155	CAVE	
293	cliff	Nature	Nature	992	CLIFF	
294	cloud	Nature	Nature	1489	CLOUD	
295	gold	Nature	Nature	1369	GOLD	
296	iron	Nature	Nature	621	IRON	
297	mountain	Nature	Nature	639	MOUNTAIN	
298	mud	Nature	Nature	640	MUD	
299	rain	Nature	Nature	658	RAIN (PRECIPITATION)	
300	river	Nature	Nature	666	RIVER	
301	sand	Nature	Nature	671	SAND	
302	silver	Nature	Nature	759	SILVER	
303	sky	Nature	Nature	1732	SKY	
304	stone	Nature	Nature	857	STONE	
305	sun	Nature	Nature	1343	SUN	
306	thunder	Nature	Nature	1150	THUNDER	
307	water	Nature	Nature	948	WATER	
308	wind	Nature	Nature	960	WIND	
309	moon	Time	Nature	1313	MOON	
310	the sun rises	Nature	Nature	2296	SUNRISE	Laos
311	lightning	Nature	Nature	1654	LIGHTNING	Laos
312	storm	Nature	Nature	858	STORM	Laos
313	snow	Nature	Nature	784	SNOW	Laos
314	hail	Nature	Nature	609	HAIL	Laos
315	weather	Nature	Nature	952	WEATHER	Laos
316	cloudy day	Nature	Nature	2743	CLOUDY DAY	Laos
317	drought	Nature	Nature	199	FAMINE	Laos
318	smoke	Home	Nature	778	SMOKE (EXHAUST)	Laos
319	the sun sets	Nature	Nature	2295	SUNSET	Laos
320	stream	Nature	Nature	947	STREAM	Laos
321	sea	Nature	Nature	1474	SEA	Laos
322	earth, soil	Nature	Nature	1228	EARTH (SOIL)	Laos
323	star	Nature	Nature	1430	STAR	Laos
324	dust	Nature	Nature	2	DUST	Laos
325	pebble	Nature	Nature	961	PEBBLES	Laos
326	steel	Nature	Nature	2343	STEEL	Laos
327	earthquake	Nature	Nature	6	EARTHQUAKE	Laos
328	swamp	Nature	Nature	1145	SWAMP	Laos
329	valley	Nature	Nature	921	VALLEY	Laos
330	hole	Nature	Nature	1667	HOLE	Laos
331	ice	Nature	Nature	617	ICE	Laos
332	flood	Nature	Nature	613	HIGH TIDE	Laos
333	light	Nature	Nature	630	LIGHT (RADIATION)	Laos
334	waterfall	Nature	Nature	943	WATERFALL	Laos
335	island	Nature	Nature	622	ISLAND	Laos
336	lake	Nature	Nature	624	LAKE	Laos
337	shadow	Nature	Nature	1388	SHADE	Laos
338	bright	Nature	Nature	679	BRIGHT	Laos
339	dark	Nature	Nature	706	DARK	Laos
340	rainbow	Nature	Nature	1733	RAINBOW	Laos
341	charcoal	Town	Nature	1188	CHARCOAL	Vietnam
342	bank river	Nature	Nature	3463	RIVERBANK	Vietnam
343	copper	Nature	Nature	1825	COPPER	Vietnam
344	ditch	Nature	Nature	2002	DITCH	Vietnam
345	earth	Nature	Nature	1228	EARTH (SOIL)	Vietnam
346	fog	Nature	Nature	249	FOG	Vietnam
347	lightening	Nature	Nature	1654	LIGHTNING	Vietnam
348	pond	Nature	Nature	2035	POND	Vietnam
349	sunshine	Nature	Nature	3276	SUNSHINE	Vietnam
350	(corrupt file)	Nature	Nature			Vietnam
351	1 (person)	Numbers	Numbers			Laos
352	2 (persons)	Numbers	Numbers			Laos
353	3 (persons)	Numbers	Numbers			Laos
354	4 (persons)	Numbers	Numbers			Laos
355	5 (persons)	Numbers	Numbers			Laos
356	6 (persons)	Numbers	Numbers			Laos
357	7 (persons)	Numbers	Numbers			Laos
358	8 (persons)	Numbers	Numbers			Laos
359	9 (persons)	Numbers	Numbers			Laos
360	10 (persons)	Numbers	Numbers			Laos
361	20 (persons)	Numbers	Numbers			Laos
362	30 (persons)	Numbers	Numbers			Laos
363	40 (persons)	Numbers	Numbers			Laos
364	50 (persons)	Numbers	Numbers			Laos
365	60 (persons)	Numbers	Numbers			Laos
366	70 (persons)	Numbers	Numbers			Laos
367	80 (persons)	Numbers	Numbers			Laos
368	90 (persons)	Numbers	Numbers			Laos
369	100 (persons)	Numbers	Numbers			Laos
370	1,000 (persons)	Numbers	Numbers			Laos
371	10,000 (persons)	Numbers	Numbers			Laos
372	100,000 (persons)	Numbers	Numbers			Laos
373	1,000,000 (persons)	Numbers	Numbers			Laos
374	to be many	Numbers	Numbers	1198	MANY	Laos
375	all	Numbers	Numbers	98	ALL	Laos
376	some	Numbers	Numbers	1241	SOME	Laos
377	to be few	Numbers	Numbers	1242	FEW	Laos
378	half a unit	Numbers	Numbers	816	HALF	Laos
379	many	Pronouns	Numbers	1198	MANY	Vietnam
380	1	Numbers	Numbers	1493	ONE	Vietnam
381	2	Numbers	Numbers	1498	TWO	Vietnam
382	3	Numbers	Numbers	492	THREE	Vietnam
383	4	Numbers	Numbers	1500	FOUR	Vietnam
384	5	Numbers	Numbers	493	FIVE	Vietnam
385	6	Numbers	Numbers	1703	SIX	Vietnam
386	7	Numbers	Numbers	1704	SEVEN	Vietnam
387	8	Numbers	Numbers	1705	EIGHT	Vietnam
388	9	Numbers	Numbers	1483	NINE	Vietnam
389	10	Numbers	Numbers	1515	TEN	Vietnam
390	11	Numbers	Numbers	1706	ELEVEN	Vietnam
391	12	Numbers	Numbers	1707	TWELVE	Vietnam
392	13	Numbers	Numbers	1708	THIRTEEN	Vietnam
393	14	Numbers	Numbers	2451	FOURTEEN	Vietnam
394	15	Numbers	Numbers	1709	FIFTEEN	Vietnam
395	16	Numbers	Numbers	2454	SIXTEEN	Vietnam
396	17	Numbers	Numbers	2453	SEVENTEEN	Vietnam
397	18	Numbers	Numbers	1713	EIGHTEEN	Vietnam
398	19	Numbers	Numbers	1714	NINETEEN	Vietnam
399	20	Numbers	Numbers	1710	TWENTY	Vietnam
400	21	Numbers	Numbers	1734	TWENTY ONE	Vietnam
401	100	Numbers	Numbers	1634	HUNDRED	Vietnam
402	1000	Numbers	Numbers	1843	THOUSAND	Vietnam
403	woman	People	People	962	WOMAN	
404	they	Pronouns	People	817	THEY	
405	name	Concepts	People	1405	NAME	
406	child	People	People	2099	CHILD	
407	husband	People	People	1200	HUSBAND	
408	man	People	People	1554	MAN	
409	mother	People	People	1216	MOTHER	
410	widow	People	People	1756	WIDOW	
411	wife	People	People	1199	WIFE	
412	I (1s)	People	People	1209	I	Laos
413	thou (2s)	People	People	1215	THOU	Laos
414	he/she/it	People	People	262	HE OR SHE OR IT	Laos
415	he/she/it	People	People	262	HE OR SHE OR IT	Laos
416	we (1p)	People	People	1212	WE	Laos
417	you (2p)	People	People	1213	YOU	Laos
418	father	People	People	1217	FATHER	Laos
419	brother (elder of f)	People	People	2415	OLDER BROTHER (OF WOMAN)	Laos
420	brother (elder of m)	People	People	2414	OLDER BROTHER (OF MAN)	Laos
421	sister (elder of f)	People	People	2419	OLDER SISTER (OF WOMAN)	Laos
422	sister (elder of m)	People	People	2418	OLDER SISTER (OF MAN)	Laos
423	brother(younger of f)	People	People	2417	YOUNGER BROTHER (OF WOMAN)	Laos
424	brother(younger of m)	People	People	2416	YOUNGER BROTHER (OF MAN)	Laos
425	sister (younger of f)	People	People	2421	YOUNGER SISTER (OF WOMAN)	Laos
426	sister (younger of m)	People	People	2420	YOUNGER SISTER (OF MAN)	Laos
427	friend	People	People	1325	FRIEND	Laos
428	ancestor	People	People	1669	ANCESTORS	Vietnam
429	bride	People	People	1266	BRIDE	Vietnam
430	o. brother	People	People	1759	OLDER BROTHER	Vietnam
431	y. brother	People	People	1760	YOUNGER BROTHER	Vietnam
432	daughter	People	People	1357	DAUGHTER	Vietnam
433	descendant	People	People	490	DESCENDANTS	Vietnam
434	father’s older brother	People	People	2173	PATERNAL UNCLE (FATHER'S OLDER BROTHER)	Vietnam
435	father’s younger brother	People	People	2174	PATERNAL UNCLE (FATHER'S YOUNGER BROTHER)	Vietnam
436	grandfather	People	People	1383	GRANDFATHER	Vietnam
437	grandmother	People	People	1496	GRANDMOTHER	Vietnam
438	groom	People	People	3282	GROOM	Vietnam
439	guest	People	People	1782	GUEST	Vietnam
440	host, owner	People	People	1545	HOST	Vietnam
441	lover	People	People			Vietnam
442	mother’s brother	People	People	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	Vietnam
443	mother’s mother	People	People	2177	MATERNAL GRANDMOTHER	Vietnam
444	mother’s sister	People	People	2693	MATERNAL AUNT (MOTHER'S SISTER)	Vietnam
445	o. sister	People	People	1758	OLDER SISTER	Vietnam
446	y. sister	People	People	1761	YOUNGER SISTER	Vietnam
447	son	People	People	1620	SON	Vietnam
448	artisan	People	People			Vietnam
449	daughter-in-law	People	People	1057	DAUGHTER-IN-LAW	Vietnam
450	nung	People	People			Vietnam
451	widower	People	People	1981	WIDOWER	Vietnam
452	you (sg)	Pronouns	People	1215	THOU	Vietnam
453	we	Pronouns	People	1212	WE	Vietnam
454	I	Pronouns	People	1209	I	Vietnam
455	he	Pronouns	People	1211	HE	Vietnam
456	you (pl)	Pronouns	People	1213	YOU	Vietnam
457	forest	Nature	Plants, Food	420	FOREST	
458	salt	Nature	Plants, Food	1274	SALT	
459	banana	Vegetable/Food	Plants, Food	868	BANANA	
460	bean	Vegetable/Food	Plants, Food	2574	BEAN OR PEA	
461	cucumber	Vegetable/Food	Plants, Food	496	CUCUMBER	
462	eggplant	Vegetable/Food	Plants, Food	1146	AUBERGINE	
463	fat	Vegetable/Food	Plants, Food	2449	FAT (OF MEAT AND FOOD)	
464	flower	Vegetable/Food	Plants, Food	239	FLOWER	
465	fruit	Vegetable/Food	Plants, Food	1507	FRUIT	
466	garlic	Vegetable/Food	Plants, Food	2368	GARLIC	
467	grass	Vegetable/Food	Plants, Food	606	GRASS	
468	leaf	Vegetable/Food	Plants, Food	628	LEAF	
469	medicine	Vegetable/Food	Plants, Food	1372	MEDICINE	
470	mushroom	Vegetable/Food	Plants, Food	641	MUSHROOM	
471	pumpkin	Vegetable/Food	Plants, Food	864	PUMPKIN	
472	sugarcane	Vegetable/Food	Plants, Food	146	SUGAR CANE	
473	taro	Vegetable/Food	Plants, Food	351	TARO	
474	thorn	Vegetable/Food	Plants, Food	124	THORN	
475	tree	Vegetable/Food	Plants, Food	906	TREE	
476	onion	Vegetable/Food	Plants, Food	2366	ONION	
477	sprout	Plants, Food	Plants, Food	3358	SPROUT (SHOOT)	Laos
478	tree shade	Plants, Food	Plants, Food			Laos
479	petals of a flower	Plants, Food	Plants, Food			Laos
480	peel	Plants, Food	Plants, Food	275	PEEL	Laos
481	branch	Plants, Food	Plants, Food	1531	BRANCH	Laos
482	tree bark	Plants, Food	Plants, Food	1204	BARK	Laos
483	root	Plants, Food	Plants, Food	670	ROOT	Laos
484	seed	Plants, Food	Plants, Food	714	SEED	Laos
485	bamboo	Plants, Food	Plants, Food	1927	BAMBOO	Laos
486	bamboo shoot	Plants, Food	Plants, Food	2494	BAMBOO SHOOT	Laos
487	bamboo pole	Plants, Food	Plants, Food			Laos
488	coconut tree	Plants, Food	Plants, Food	147	COCONUT TREE	Laos
489	betelnut	Plants, Food	Plants, Food	217	BETELNUT	Laos
490	papaya	Plants, Food	Plants, Food	2445	PAPAYA	Laos
491	mango	Plants, Food	Plants, Food	2398	MANGO	Laos
492	coconut	Plants, Food	Plants, Food	970	COCONUT	Laos
493	pineapple	Plants, Food	Plants, Food	2440	PINEAPPLE	Laos
494	watermelon	Plants, Food	Plants, Food	2766	WATERMELON	Laos
495	apple	Plants, Food	Plants, Food	1320	APPLE	Laos
496	peanut	Plants, Food	Plants, Food	2364	PEANUT	Laos
497	ginger	Plants, Food	Plants, Food	2500	GINGER	Laos
498	rice husk	Plants, Food	Plants, Food	2501	RICE HUSK	Laos
499	sweet potato	Plants, Food	Plants, Food	159	SWEET POTATO	Laos
500	potato	Plants, Food	Plants, Food	593	POTATO	Laos
501	carrot	Plants, Food	Plants, Food	3085	CARROT	Laos
502	tomato	Plants, Food	Plants, Food	986	TOMATO	Laos
503	green bean	Plants, Food	Plants, Food			Laos
504	sesame	Plants, Food	Plants, Food	2797	SESAME	Laos
505	soybean sprout	Plants, Food	Plants, Food			Laos
506	ingredients	Plants, Food	Plants, Food			Laos
507	oil	Plants, Food	Plants, Food	2556	OIL (HYDROPHOBIC LIQUID)	Laos
508	soy sauce	Plants, Food	Plants, Food	1968	SOYA SAUCE	Laos
509	sugar	Plants, Food	Plants, Food	862	SUGAR	Laos
510	white sugar	Plants, Food	Plants, Food	3441	WHITE SUGAR	Laos
511	spices	Plants, Food	Plants, Food			Laos
512	black pepper	Plants, Food	Plants, Food			Laos
